926.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 horus after surgery),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
509.hospitalowner,voluntray non-profit - private,voluntary non-profit - private
78.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
314.measurename,heart attackb patients given aspirin at arrival,heart attack patients given aspirin at arrival
688.condition,surgical infectino prevention,surgical infection prevention
541.address1,2105 east souh boulevard,2105 east south boulevard
631.condition,neumonia,pneumonia
542.zipcode,3610f6,36106
208.hospitalname,st vincents xeast,st vincents east
748.state,la,al
304.zipcode,3533,35233
137.stateavg,l_scip-card-2,al_scip-card-2
187.stateavg,al_scip-qcard-2,al_scip-card-2
243.hospitalname,callahan eye foundation hospital,dekalb regional medical center
33.city,dodthan,dothan
277.countyname,sehlby,shelby
461.city,sheffiedl,sheffield
18.hospitalowner,governmnt - hospital district or authority,government - hospital district or authority
465.hospitalowner,government - hospital districtor authority,government - hospital district or authority
195.hospitalname,callahan eye foundation hospital,st vincents east
840.stateavg,alb_pn-3b,al_pn-3b
245.measurename,heart attack patients given aspirin at arrial,heart attack patients given aspirin at arrival
460.city,shefield,sheffield
229.hospitalname,callahan eye foundation hospital,dekalb regional medical center
319.hospitalname,stringfegllow memorial hospital,stringfellow memorial hospital
237.stateavg,la_scip-card-2,al_scip-card-2
256.condition,pneumonai,pneumonia
14.hospitalname,helen keller memorial hospiatl,helen keller memorial hospital
781.city,hunsville,huntsville
33.hospitalowner,government - hopital district or authority,government - hospital district or authority
196.hospitalname,callahan eye foundation hospital,st vincents east
77.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
669.hospitalowner,overnment - state,government - state
679.emergencyservice,vyes,yes
905.state,la,al
160.measurename,pneumoia patients given the most appropriate initial antibiotic(s),pneumonia patients given the most appropriate initial antibiotic(s)
541.emergencyservice,es,yes
189.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infcetion,surgery patients who were given the  right kind  of antibiotic to help prevent infection
102.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given discharge instructions
214.address1,05 medical park east drive,50 medical park east drive
455.measurename,pneumonia patients given smoking cessaton advice/counseling,pneumonia patients given smoking cessation advice/counseling
943.address1,515 misranda st,515 miranda st
303.address1,1720 university bvd,1720 university blvd
680.emergencyservice,yehs,yes
495.condition,heart attak,heart attack
956.measurename,heart ttack patients given aspirin at arrival,heart attack patients given aspirin at arrival
797.emergencyservice,ynes,yes
453.phonenumber,2568364556,2563864556
459.hospitalname,helen keller memorial hosiptal,helen keller memorial hospital
727.phonenumber,5267372000,2567372000
36.stateavg,al_pn7-,al_pn-7
222.condition,heart attck,heart attack
350.emergencyservice,yecs,yes
117.hospitalname,callahan eye foundation hospital,mizell memorial hospital
969.hospitalowner,propriyetary,proprietary
797.city,uhntsville,huntsville
217.hospitalname,callahan eye foundation hospital,st vincents east
281.countyname,shebly,shelby
12.state,cal,al
588.emergencyservice,es,yes
55.address1,2505 u s highway 431 norh,2505 u s highway 431 north
198.hospitalname,callahan eye foundation hospital,st vincents east
917.state,l,al
270.measurename,heart attack patiets given aspirin at arrival,heart attack patients given aspirin at arrival
34.countyname,houstno,houston
910.hospitalname,riverviewr egional medical center,riverview regional medical center
369.countyname,marino,marion
456.hospitalname,helen keller memoiral hospital,helen keller memorial hospital
443.zipcode,9950k8,99508
194.hospitalname,callahan eye foundation hospital,marshall medical center north
115.zipcode,3467,36467
980.address1,400 n ewards street,400 n edwards street
219.hospitalname,callahan eye foundation hospital,st vincents east
630.condition,vpneumonia,pneumonia
164.hospitalname,hartselle medcial center,hartselle medical center
244.hospitalname,callahan eye foundation hospital,dekalb regional medical center
13.hospitalname,helen keller memoriatl hospital,helen keller memorial hospital
641.zipcode,36810,36801
118.hospitalname,callahan eye foundation hospital,mizell memorial hospital
457.hospitalname,heeln keller memorial hospital,helen keller memorial hospital
717.measurename,heart attack patients given aspirin atarrival,heart attack patients given aspirin at arrival
798.condition,surgical infectio prevention,surgical infection prevention
282.countyname,shebly,shelby
305.address1,1720 university xblvd,1720 university blvd
684.state,l,al
162.stateavg,al_scip-wcard-2,al_scip-card-2
653.phonenumber,25q63572111,2563572111
488.condition,surgical inefection prevention,surgical infection prevention
464.hospitalowner,government - hospital distric tor authority,government - hospital district or authority
768.countyname,alhoun,calhoun
8.hospitalname,callahan eye foundation hospiatl,callahan eye foundation hospital
5.stateavg,al_scip-nf-4,al_scip-inf-4
926.condition,surgica infection prevention,surgical infection prevention
79.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
