index,id,article_title,article_language,journal_title,journal_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
27,378490,A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,eng,The Journal of clinical psychiatry,J Clin Psychiatry,1555-2101,69,12,1/8/12,1892-900,"{""Isabella Soreca""""Andrea Fagiolini""""David J Kupfer""""Bret H Goodpaster""""Sara B Fleet-Michaliszyn""""Amy D Otto""""John M Jakicic""}"
28,971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,0,empty,0,empty,35,11,1/1/86,1074-1077,"{""S. Srikanta""""O. P. Ganda""""R. E. Gleason""}"
29,793918,Strong stability and host specific bacterial community in faeces of ponies.,0,PLoS One,Case Rep.Med.,1932-6203,8,9,1/13/01,e75079,"{""Tina M Blackmore""""Kirsty Dougal""""Hilary J Worgan""""Eric Pinloche""""Gemma Curtis""""C Jamie Newbold""""Neil R McEwan""""Susan E Girdwood""""Pat A Harris""""Caroline McG Argo""""Alex Dugdale""}"
30,819166,"Responses to open peer commentaries on ""the subjective brain identity and neuroethics""",0,empty,Auton.Neurosc.Basic Clin.,empty,9,9,1/9/01,W1-W4,"{""G.R. Gillett""}"
31,880881,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,kor,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,Korean J Gastroenterol,1598-9992,52,6,1/8/12,384-8,"{""Seung Woo Park""""Jae Bock Chung""""Sang Kyum Kim""""Si Young Song""""Joo Won Chung""""Ho Keun Kim""""Joo Hee Seo""""Seungmin Bang""}"
32,629530,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,eng,empty,0,empty,28,17,1/7/09,2077-86,"{""Carolyn H McCabe""""Shaun G Goodman""""Frans Van de Werf""""David A Morrow""""Elliott M Antman""""Eugene Braunwald""""Kenneth W Mahaffey""""Marc Cohen""""Ian B Menown""""Sabina A Murphy""""Charles Michael Gibson""}"
33,954388,Optimal Starting Age for School Attendance: FY76 Issue Analysis,English,empty,empty,empty,0,0,1/1/74,46,"{""Marilou Madden""}"
34,379737,Bone density and body composition in young women with chronic fatigue syndrome.,eng,empty,0,empty,904,-1,5/1/00,625-7,"{""F Gates""""P Clifton-Bligh""""G Fulcher""""L Hoskin""""R Hansen""}"
35,676042,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,0,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,Int J Med Inform,1532-8511,24,2,1/15/02,362-9,"{""Yan-Xin Zhao""""Jun-Chao Xie""""Xue-Yuan Liu""""Han Yan""}"
36,353972,Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,0,empty,Occup Environ Med,empty,3,3,0,243-248,"{""B O Olley""}"
37,968125,Successful treatment of lung cancer by multimodal endobronchial interventions,0,0,Respirology,0025-7931,88,2,0,144-147,"{""T. Nakajima""""I. Yoshino""""K. Yasufuku""""S. Yoshida""""Y. Sakairi""""K. Shibuya""}"
38,660168,Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,eng,Neurosurgery,Neurosurgery,1524-4040,64,2,1/9/02,316-26; discussion 326-7,"{""R Loch Macdonald""""Farbod Asgarzadie-Gadim""""Yeon Gyoe Jang""""Daniel J Curry""""Rachel N Yanowitch""""Kim E Schultheiss""""Jocelyn Tolentino""""J_rgen L_ders""}"
39,732534,Out of harm's way: curbing violence in the ED,English,Health Facilities Management,Health Facil Manage,0899-6210,8,10,1/1/95,20-6 28,"{""K. Sandrick""}"
40,473026,The incidence of contrast-induced nephropathy in trauma patients.,eng,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,1473-5695,15,3,1/8/06,134-9,"{""Rich Sinert""""Shoma Desai""""Antonia Hipp""""Carmen Lopez""}"
41,372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,empty,empty,empty,empty,90,1,0,S398,"{""Kooy H.""""Hong T.S.""""Symonifka J.""""Depauw N.""""Wo J.Y.""}"
42,110072,Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.,0,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,Surg Infect (Larchmt),1559-7016,34,10,1/14/10,1681-7,"{""Jacques Van Hoecke""""Hayat Banoujaafar""""Christine Marie""""Claude M Mossiat""}"
43,330553,Multiresistance of clinically relevant gram-positive cocci,English,empty,0,empty,34,7,1/1/97,655-663,"{""G. Peters""""K. Becker""""C. Von Eiff""}"
44,23215,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,0,Journal of the American Board of Family Medicine : JABFM,PloS one,1557-2625,27,1,0,42-55,"{""Leila Jackson""""Brian J Wells""""Gregory S Cooper""""Siran Koroukian""""Michael W Kattan""}"
45,719532,Methodology to estimate building energy consumption using EnergyPlus Benchmark Models,empty,empty,Expert Opin Emerg Drugs,empty,42,12,0,2331-2337,"{""R. Luck""""P. Mago""""N. Fumo""}"
46,86421,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,eng,Cancer research,Cancer Res.,1538-7445,71,10,5/15/11,Sep-82,"{""Stephanie J Weinstein""""Rachael Z Stolzenberg-Solomon""""Philip R Taylor""""Barry I Graubard""""Jarmo Virtamo""""Demetrius Albanes""""Li Jiao""}"
47,433667,Norton Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement,empty,empty,empty,empty,0,0,empty,0,{NULL}
48,530323,Strategies for partner notification for sexually transmitted infections including HIV.,pol,empty,PloS one,empty,10,-1,0,CD002843,"{""Catherine Mathews""""Moleen Zunza""""Adel Ferreira""""Nicola Low""""Taryn Young""}"
49,102893,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,0,The Journal o clinical psychiatry,J. Antimicrob. Chemother.,1555-2101,71,11,1/10/11,1518-25,"{""Roger S McIntyre""""Avnish Tripathi""""Jeanette M Jerrell""}"
50,864817,Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial,English,empty,Expert Opin Emerg Drugs,0,-1,12,1/10/01,viii284,"{""B. Escudier""""A. Ravaud""""F. Rolland""""A. Blesius""""B. Beuzelink""""S. Oudard""""C. Chevreau""}"
51,217725,Use of alendronate in peri-implant defect regeneration,0,empty,0,0,15,4,1/1/99,151-158,"{""P. C. Wollan""""S. J. Meraw""""C. M. Reeve""}"
52,730822,Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine clonidine and bupivacaine,English; ABSTRACT LANGUAGE:English,Annals of the Royal College of Surgeons of England,Ann R Coll Surg Engl,0035-8843,76,5,1/1/94,324-326,"{""Jayatunga AP""""Dark CH""""Jahangiri M""""Bradley JWP""}"
53,659297,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,eng,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,Am J Phys Med Rehabil,1537-7385,91,11,1/12/11,984-98,"{""James Lenker""""W Ben Mortenson""""Frank DeRuyter""""Louise Demers""""Jeffrey W Jutai""""Marcus J Fuhrer""}"
54,42247,Gender differences in personal social and environmental influences on active travel to and from school for Australian adolescents.,0,Journal of science and medicine in sport / Sports Medicine Australia,J. Antimicrob. Chemother.,1878-1861,13,6,1/10/11,597-601,"{""John W Toumbourou""""Eva Leslie""""Peter Kremer""""Joanne W Williams""}"
55,302969,Adolescent overscheduling: The relationship between levels of participation in scheduled activities and self-reported clinical symptomology,eng,empty,empty,0,10,4,1/7/01,18-30,"{""Steven G Little""""K Angeleque Akin-Little""""Shari Melman""}"
56,158672,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.,ENG,Computers & chemical engineering,Comput Chem Eng,0098-1354,71,-1,4/14/12,715-727,"{""Shibin Mathew""""Ipsita Banerjee""}"
57,616298,Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.,eng,Journal of clinical anesthesia,J Clin Anesth,0952-8180,18,6,1/6/09,427-35,"{""David N Maine""""Genevieve E Courpas""""James F Weller""""Jeffrey M Richman""""Andrew J Rowlingson""""Christopher L Wu""}"
58,221086,Novel genetic linkage of rat Sp6 mutation to Amelogenesis imperfecta,English,empty,PloS one,empty,7,0,0,34,"{""K. Miyoshi""""T. Noma""""T. Muto""""H. Hagita""""T. Horiguchi""}"
59,548616,Educating Emergent Bilinguals: Policies Programs and Practices for English Language Learners. Language & Literacy Series,empty,empty,0,empty,0,0,1/10/10,0,"{""Ofelia Garcia""""Jo Anne Kleifgen""}"
60,669596,Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.,0,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Oral Surg Oral Med Oral Pathol Oral Radiol,1433-7347,22,12,0,Jul-91,"{""Junwei Jiang""""Hongchuan Wang""""Hua Lou""""Kai Liu""""Huiwei Zhang""}"
61,474288,Current palliative chemotherapy trials in the elderly neglect patient-centred outcome measures.,0,Journal of geriatric oncology,JRSM Open,1879-4076,6,1,0,15-22,"{""Marlies L van Bekkum""""Barbara C van Munster""""Marije E Hamaker""""Carolien H Smorenburg""""Peter L M Thunnissen""}"
62,108424,Outcome of gastric bypass patients.,eng,Obesity surgery,Obes Surg,0960-8923,12,2,1/2/04,261-4,"{""Ryan Holzwarth""""Basir Tareen""""Alicia Majkrzak""""Darren Huber""}"
63,841679,A Modified Technique for Pulmonary Valve Replacement with a Homograft,empty,empty,J Cell Sci,empty,26,2,0,144-147,"{""S. K. Choudhary""""G. S. Gulati""""P. Sharma""""S. Talwar""""B. Airan""""S. Mishra""}"
64,173830,Advances in allergic skin disease anaphylaxis and hypersensitivity reactions to foods drugs and insects,empty,empty,Croat.Med.J.,empty,116,1,0,153-163,"{""S. H. Sicherer""""D. Y. M. Leung""}"
65,852927,Phase II study of epirubicin oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.,eng,empty,The Journal of bone and joint surgery. American volume,empty,28,-1,1/9/01,34,"{""Laura Giacinti""""Silvia Ileana Fattoruso""""Maria Grazia Arena""""Luigi Di Lauro""""Massimo Lopez""""Domenico Sergi""""Diana Giannarelli""}"
66,237623,Neck pain.,0,Clinical evidence,BJOG : an international journal of obstetrics and gynaecology,1752-8526,2008,1,1/8/01,empty,"{""Allan I Binder""}"
67,912884,A guide to physiotherapy in cerebral palsy,0,empty,Occup Environ Med,0,-1,3,0,410-413,"{""C. E. Barber""}"
68,318931,Community associated methicillin-resistant Staphylococcus aureus in HIV-infected patients,empty,empty,Expert Opin Emerg Drugs,empty,12,3,0,153-163,"{""M. Pujol""""P. Barragn""""J.M. Tiraboschi""""A. Imaz""""M.. Dom_nguez""""D. Podzamczer""}"
69,93659,[The anxiety level of the patients who will have ultrasound-guided puncture biopsy: a survey study].,chi,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,1001-5515,29,3,1/12/06,453-5 459,"{""Rujun Zheng""""Yulan Peng""""Shuzhen Zhao""""Hong Huang""""Ii Liang""""Xiaoli He""}"
70,349150,The relationship between capsulorhexis size and anterior chamber depth relation.,eng,Ophthalmic surgery and lasers,Ophthalmic Surg Lasers,1082-3069,30,3,3/1/99,185-90,"{""O Ceki_""""C Batman""}"
71,572010,A pilot study of rituximab in patients with recurrent classic Hodgkin disease.,eng,empty,0,empty,98,2,7/15/03,310-4,"{""Anas Younes""""L Jeffrey Medeiros""""Frederick Hagemeister""""Maria Alma Rodriguez""""Sima Jeha""""Paolo Fiumara""""Lynne V Abruzzo""""John T Manning""""Jorge Romaguera""""Andre Goy""""Dan Jones""""Peter McLaughlin""}"
72,826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,0,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,BMC Neurol,1474-5151,11,2,1/12/01,183-9,"{""Cecilia Bj_rkelund""""Margaretha Jerlock""}"
73,34962,Assessing social isolation in motor neurone disease: a Rasch analysis of the MND Social Withdrawal Scale.,eng,Journal of the neurological sciences,J. Neurol. Sci.,1878-5883,334,1,11/15/13,112-8,"{""Everard W Thornton""""Carolyn A Young""""Alan Tennant""""John Ealing""""Kevin Talbot""""[Collective Name] UKMND-QoL Group""""Chris J Gibbons""""Pamela J Shaw""}"
74,574309,Three-year Outcomes in de Novo Liver Transplant Patients     Receiving Everolimus with Reduced Tacrolimus: Follow-Up Results from     a Randomized Multicenter Study,English,Transplantation,Transplantation,0041-1337,99,7,1/15/01,1455-1462,"{""Junge G""""Rauer B""""De Simone P""""Fischer L""""De Carlis L""""Kaiser GM""""Saliba F""""Duvoux C""""Metselaar HJ""""Dong G""""Nevens F""""Fung JJ""}"
75,200077,Plasma cell leukemia--a case report.,eng,empty,0,empty,46,3,1/3/07,484-7,"{""T K Dutta""""Pampa Ch Toi""""Bhawana A Badhe""""L H Ghotekar""""Debdatta Basu""}"
76,421512,CABG again outshines stenting for some patients with coronary artery blockage,pol,empty,Journal of graduate medical education,0,27,1,0,17-Aug,"{""M. Mitka""}"
77,715052,Health-promoting behaviors of low-income cancer survivors,empty,empty,empty,0,25,3,1/11/01,118-124 7p,"{""Alexa Stuifbergen""""Martha Gene Meraviglia""}"
78,172966,Food allergy in children,0,empty,Circulation,empty,13,10,0,1349-1353,"{""E. Bidat""}"
79,140274,Here to stay. An interview with Dr. David Satcher Director U.S. Centers for Disease Control and Prevention.,eng,Nepal Medical College journal : NMCJ,Nepal Med Coll J,empty,1,17,11/1/96,9-Jun,"{""J Stilkind""}"
80,282039,The first case of drug-induced immune hemolytic anemia due to hydrocortisone,0,empty,Occup Environ Med,empty,48,9,0,1925-1929,"{""M. Martinengo""""D. F. Ardenghi""""G. Reali""""G. Tripodi""}"
81,835177,KRAS mutational status assessment in patients with metastatic colorectal cancer: are the clinical implications so clear?,0,Eur J Cancer Care (Engl),Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,0961-5423 (Print) 0961-5423,19,2,1/10/01,167-71,"{""M. Hebbar""""P. Fournier""""O. Romano""}"
82,519732,Classifying radiographic progression status in early rheumatoid arthritis patients using propensity scores to adjust for baseline differences.,eng,Statistical methods in medical research,Stat Methods Med Res,0962-2802,16,1,1/7/02,13-29,"{""John T Sharp""""Weng Kee Wong""""Grace S Park""""Harold E Paulus""""MyungShin Oh""""Richard H Gold""""Dinesh Khanna""}"
83,761104,Infusing Tolerance Diversity and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning,empty,empty,Croat.Med.J.,empty,0,3,0,0,"{""Milagros M. Sessions""""Kevin J. Miller""}"
84,408062,Adherence to fesoterodine in women with overactive bladder in routine clinical practice.,engspa,Actas urologicas espanolas,Actas Urol Esp,1699-7980,39,4,1/15/05,222-8,"{""E Huguet""""O Porta""""E Mart_nez""""I Mora""""M Sim_""""J Pubill""""J A Ortega""""M T Castillo""}"
85,889481,Chronic pain related to quality of sleep,eng     por,Einstein (Sao Paulo),Einstein (Sao Paulo Brazil),1679-4508,12,2,1/14/01,159-63,"{""W. Hummig""""J. Stechman Neto""""L. F. Tonial""}"
86,894596,On the role of pre and post-processing in environmental data mining,eng,empty,Rev.Neurol.,empty,3,0,0,1937-1958,"{""Miquel S_nchez-Marr""""Geoff Holmes""""Joaqu_n Izquierdo""""Joaquim Comas""""Ioannis Athanasiadis""""Karina Gibert""}"
87,604985,Cardioactive steroid poisoning: a comparison of plant- and animal-derived compounds.,eng,J Med Toxicol,Journal of medical toxicology : official journal of the American College of Medical Toxicology,1556-9039,2,4,1/6/12,152-5,"{""Robert S Hoffman""""Brian W Cotter""""Barbara M Kirrane""""Fermin Barrueto""""Lewis S Nelson""}"
88,220950,Forensic odontology: A prosthodontic view,English,empty,empty,empty,4,1,0,38-41,"{""S. Gosavi""""S. Gosavi""}"
89,770196,FIGO staging of gynecologic cancer. 1994-1997 FIGO Committee on Gynecologic Oncology. International Federation of Gynecology and Obstetrics,0,Int J Gynaecol Obstet,Tobacco control,0020-7292,64,1,1/1/99,10-May,"{""W. T. Creasman""""S. Pecorelli""""J. L. Benedet""""J. H. Shepherd""}"
90,914468,Effect of neuromuscular electrical stimulation and isotonic exercises in flexor and extensor muscles of knee of hemiplegic patients,0,Revista de Neurologia,Occup Environ Med,0210-0010,46,3,1/8/01,135-138,"{""S. Regina-Ribeiro""""C. Tortoza""""R. P. S. Lima""""S. T. T. de Freitas""""P. R. Lucareli""""M. O. Lima""""M. T. Pacheco""""J. Gomes-Lucareli""""R. A. Lopes-Martins""}"
91,346326,Ventricular fibrillation in acute mitral valve insufficiency caused by chordae tendineae rupture: report of a surgically corrected case.,0,J Cardiovasc Med (Hagerstown),Colorectal Dis,1558-2027,10,3,1/9/03,261-3,"{""Giovanni Teodori""""Marta Leverone""""Eraldo Occhetta""""Miriam Bortnik""""Paolo Marino""""Marco Marcolongo""}"
92,612846,[Assessment of prognostic factors of thoracic synovial sarcoma].,fre,empty,0,empty,27,1,0,Jul-93,"{""B H Mbatchou Ngahane""""G Devouassoux""""H Baudrand""""B Guibert""""N Freymond""""Y Pacheco""""A Traverse-Glehen""}"
93,282053,Secondary school tobacco policy and prevention curricula in South Carolina,0,Nicotine Tob Res,Journal of human hypertension,1462-2203,1,4,1/1/99,341-6,"{""M. W. Martin""""R. Saunders""""S. Levin""}"
94,870257,Intimate Partner Violence Survivors' Unmet Social Service Needs,0,empty,J Cell Sci,empty,37,5,0,481-489,"{""Melissa E. Dichter""""Karin V. Rhodes""}"
95,417578,Partial fill strategies for oral oncolytics to reduce waste and drive persistency,0,Am J Manag Care,Journal of graduate medical education,1088-0224,19,1,0,SP26-7,"{""A. A. Kaddis""}"
96,949067,The impact of advancing age on P-glycoprotein expression and activity: current knowledge and future directions,0,Expert Opin Drug Metab Toxicol,The Journal of bone and joint surgery. British volume,1742-5255,3,3,1/7/01,315-20,"{""A. A. Mangoni""}"
97,931323,Prevalence of allergic diseases in Poland - ECAP study,0,empty,J Environ Monit,0,-1,12,0,326-327,"{""N. Jakubik""""L. Trzpil""""F. Raciborski""""U. Samolinska-Zawisza""""L. Samoliski""""D. Paczesny""""Z. Halat""""J. Marszalkowska""""B. Samolinski""""P. Samel-Kowalik""""A. Lusawa""""J. Gutowska""""A. Tomaszewska""""A. Walkiewicz""}"
98,752456,The changing patterns of systemic fluoride intake,0,J Dent Res,Journal of dental research,0022-0345,71,5,1/1/92,1228-37,"{""B. A. Burt""}"
99,377284,Normal insulin sensitivity and IMCL content in overweight humans are associated with higher fasting lipid oxidation.,eng,Am J Physiol Endocrinol Metab,American journal of physiology. Endocrinology and metabolism,0193-1849,283,3,1/2/09,E556-64,"{""Paola Scifo""""Alessandro Del Maschio""""Livio Luzi""""Elena Meneghini""""Alberto Battezzati""""Gianluca Perseghin""""Massimo Danna""""Stefano Benedini""}"
100,420138,Dietary practices of ballet jazz and modern dancers,empty,Journal of the American Dietetic Association,J Am Diet Assoc,1878-3570,92,3,1/1/92,319-324,"{""Stensland SH""""Sobal J""}"
101,444273,Iatrogenic perforation at colonic imaging.,empty,empty,empty,empty,0,0,empty,0,{NULL}
102,816680,The embodied nature of medical concepts: Image schemas and language for pain,empty,0,Respirology,empty,15,3,0,283-296,"{""M. Tercedor Snchez""""J.A. Prieto Velasco""}"
103,491006,Nasal steroids in snorers can decrease snoring frequency: a randomized placebo-controlled crossover trial,German,empty,Transplantation,0,21,2,0,160-6,"{""A. Keliris""""I. Koutsourelakis""""A. Minaritzoglou""""S. Zakynthinos""}"
104,628299,Risk of gestational diabetes mellitus in women with polycystic ovary syndrome: a systematic review and a meta-analysis.,eng,Fertility and sterility,Fertil. Steril.,1556-5653,92,2,1/9/08,667-77,"{""Christos A Venetis""""Basil C Tarlatzis""""Konstantinos A Toulis""""Efstratios M Kolibianakis""""Dimitrios G Goulis""""Ioannis Papadimas""}"
