ProviderNumber,HospitalName,HospitalOwner,City,PhoneNumber,State,Address1,Address2,Address3,ZipCode,CountyName,EmergencyService,Condition,MeasureName,HospitalType,MeasureCode,Stateavg,Score,Sample
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given smoking cessation advice/counseling,acute care hospitals,ami-4,al_ami-4,100%,4 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given beta blocker at discharge,acute care hospitals,ami-5,al_ami-5,86%,14 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,acute care hospitals,ami-7a,al_ami-7a,empty,0 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given pci within 90 minutes of arrival,acute care hospitals,ami-8a,al_ami-8a,empty,0 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart failure,heart failure patients given discharge instructions,acute care hospitals,hf-1,al_hf-1,80%,114 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,acute care hospitals,hf-2,al_hf-2,99%,149 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,hf-3,al_hf-3,92%,37 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart failure,heart failure patients given smoking cessation advice/counseling,acute care hospitals,hf-4,al_hf-4,100%,41 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given aspirin at arrival,acute care hospitals,ami-1,al_ami-1,98%,270 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given aspirin at discharge,acute care hospitals,ami-2,al_ami-2,99%,516 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,ami-3,al_ami-3,96%,71 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given smoking cessation advice/counseling,acute care hospitals,ami-4,al_ami-4,100%,244 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given beta blocker at discharge,acute care hospitals,ami-5,al_ami-5,99%,441 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,acute care hospitals,ami-7a,al_ami-7a,empty,0 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart attack,heart attack patients given pci within 90 minutes of arrival,acute care hospitals,ami-8a,al_ami-8a,72%,40 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart failure,heart failure patients given discharge instructions,acute care hospitals,hf-1,al_hf-1,78%,455 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,acute care hospitals,hf-2,al_hf-2,99%,514 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,hf-3,al_hf-3,91%,165 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,heart failure,heart failure patients given smoking cessation advice/counseling,acute care hospitals,hf-4,al_hf-4,100%,110 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,pneumonia,pneumonia patients assessed and given pneumococcal vaccination,acute care hospitals,pn-2,al_pn-2,93%,191 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,acute care hospitals,pn-3b,al_pn-3b,89%,125 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,pneumonia,pneumonia patients given smoking cessation advice/counseling,acute care hospitals,pn-4,al_pn-4,99%,107 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,acute care hospitals,pn-5c,al_pn-5c,92%,196 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),acute care hospitals,pn-6,al_pn-6,80%,147 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,pneumonia,pneumonia patients assessed and given influenza vaccination,acute care hospitals,pn-7,al_pn-7,84%,160 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,acute care hospitals,scip-card-2,al_scip-card-2,72%,79 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,acute care hospitals,scip-inf-1,al_scip-inf-1,94%,399 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,acute care hospitals,scip-inf-2,al_scip-inf-2,98%,405 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),acute care hospitals,scip-inf-3,al_scip-inf-3,88%,385 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,acute care hospitals,scip-inf-4,al_scip-inf-4,96%,136 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),acute care hospitals,scip-inf-6,al_scip-inf-6,90%,537 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,acute care hospitals,scip-vte-1,al_scip-vte-1,86%,185 patients
10001,southeast alabama medical center,government - hospital district or authority,dothan,3347938701,al,1108 ross clark circle,empty,empty,36302,houston,yes,surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,acute care hospitals,scip-vte-2,al_scip-vte-2,83%,184 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given aspirin at arrival,acute care hospitals,ami-1,al_ami-1,80%,20 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given aspirin at discharge,acute care hospitals,ami-2,al_ami-2,60%,5 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,ami-3,al_ami-3,100%,2 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given smoking cessation advice/counseling,acute care hospitals,ami-4,al_ami-4,empty,0 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given beta blocker at discharge,acute care hospitals,ami-5,al_ami-5,100%,5 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,acute care hospitals,ami-7a,al_ami-7a,empty,0 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart attack,heart attack patients given pci within 90 minutes of arrival,acute care hospitals,ami-8a,al_ami-8a,empty,0 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart failure,heart failure patients given discharge instructions,acute care hospitals,hf-1,al_hf-1,78%,110 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,acute care hospitals,hf-2,al_hf-2,99%,160 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,hf-3,al_hf-3,90%,69 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,heart failure,heart failure patients given smoking cessation advice/counseling,acute care hospitals,hf-4,al_hf-4,94%,34 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,pneumonia,pneumonia patients assessed and given pneumococcal vaccination,acute care hospitals,pn-2,al_pn-2,97%,172 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,acute care hospitals,pn-3b,al_pn-3b,97%,120 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,pneumonia,pneumonia patients given smoking cessation advice/counseling,acute care hospitals,pn-4,al_pn-4,97%,98 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,acute care hospitals,pn-5c,al_pn-5c,96%,211 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),acute care hospitals,pn-6,al_pn-6,92%,175 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,pneumonia,pneumonia patients assessed and given influenza vaccination,acute care hospitals,pn-7,al_pn-7,81%,118 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,acute care hospitals,scip-card-2,al_scip-card-2,36%,14 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,acute care hospitals,scip-inf-1,al_scip-inf-1,96%,168 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,acute care hospitals,scip-inf-2,al_scip-inf-2,93%,167 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),acute care hospitals,scip-inf-3,al_scip-inf-3,95%,158 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,acute care hospitals,scip-inf-4,al_scip-inf-4,empty,0 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),acute care hospitals,scip-inf-6,al_scip-inf-6,100%,237 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,acute care hospitals,scip-vte-1,al_scip-vte-1,78%,76 patients
10005,marshall medical center south,government - hospital district or authority,boaz,2565938310,al,2505 u s highway 431 north,empty,empty,35957,marshall,yes,surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,acute care hospitals,scip-vte-2,al_scip-vte-2,74%,76 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given aspirin at arrival,acute care hospitals,ami-1,al_ami-1,97%,159 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given aspirin at discharge,acute care hospitals,ami-2,al_ami-2,96%,247 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,ami-3,al_ami-3,93%,43 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given smoking cessation advice/counseling,acute care hospitals,ami-4,al_ami-4,100%,103 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given beta blocker at discharge,acute care hospitals,ami-5,al_ami-5,96%,227 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,acute care hospitals,ami-7a,al_ami-7a,empty,0 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart attack,heart attack patients given pci within 90 minutes of arrival,acute care hospitals,ami-8a,al_ami-8a,98%,61 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart failure,heart failure patients given discharge instructions,acute care hospitals,hf-1,al_hf-1,79%,217 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,acute care hospitals,hf-2,al_hf-2,97%,259 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,hf-3,al_hf-3,82%,84 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,heart failure,heart failure patients given smoking cessation advice/counseling,acute care hospitals,hf-4,al_hf-4,100%,53 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,pneumonia,pneumonia patients assessed and given pneumococcal vaccination,acute care hospitals,pn-2,al_pn-2,90%,174 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,acute care hospitals,pn-3b,al_pn-3b,95%,137 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,pneumonia,pneumonia patients given smoking cessation advice/counseling,acute care hospitals,pn-4,al_pn-4,100%,65 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,acute care hospitals,pn-5c,al_pn-5c,96%,200 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),acute care hospitals,pn-6,al_pn-6,91%,138 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,pneumonia,pneumonia patients assessed and given influenza vaccination,acute care hospitals,pn-7,al_pn-7,88%,85 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,acute care hospitals,scip-card-2,al_scip-card-2,96%,107 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,acute care hospitals,scip-inf-1,al_scip-inf-1,99%,457 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,acute care hospitals,scip-inf-2,al_scip-inf-2,99%,462 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),acute care hospitals,scip-inf-3,al_scip-inf-3,94%,439 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,acute care hospitals,scip-inf-4,al_scip-inf-4,89%,130 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),acute care hospitals,scip-inf-6,al_scip-inf-6,100%,619 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,acute care hospitals,scip-vte-1,al_scip-vte-1,95%,242 patients
10006,eliza coffee memorial hospital,voluntary non-profit - other,florence,2567688400,al,205 marengo street,empty,empty,35631,lauderdale,yes,surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,acute care hospitals,scip-vte-2,al_scip-vte-2,92%,242 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given aspirin at arrival,acute care hospitals,ami-1,al_ami-1,60%,5 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given aspirin at discharge,acute care hospitals,ami-2,al_ami-2,50%,2 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,ami-3,al_ami-3,empty,0 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given smoking cessation advice/counseling,acute care hospitals,ami-4,al_ami-4,empty,0 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given beta blocker at discharge,acute care hospitals,ami-5,al_ami-5,100%,2 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,acute care hospitals,ami-7a,al_ami-7a,empty,0 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart attack,heart attack patients given pci within 90 minutes of arrival,acute care hospitals,ami-8a,al_ami-8a,empty,0 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart failure,heart failure patients given discharge instructions,acute care hospitals,hf-1,al_hf-1,98%,59 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,acute care hospitals,hf-2,al_hf-2,87%,76 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,hf-3,al_hf-3,64%,14 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,heart failure,heart failure patients given smoking cessation advice/counseling,acute care hospitals,hf-4,al_hf-4,100%,8 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,pneumonia,pneumonia patients assessed and given pneumococcal vaccination,acute care hospitals,pn-2,al_pn-2,87%,85 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,acute care hospitals,pn-3b,al_pn-3b,78%,64 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,pneumonia,pneumonia patients given smoking cessation advice/counseling,acute care hospitals,pn-4,al_pn-4,100%,28 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,acute care hospitals,pn-5c,al_pn-5c,95%,87 patients
10007,mizell memorial hospital,voluntary non-profit - private,opp,3344933541,al,702 n main st,empty,empty,36467,covington,no,pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),acute care hospitals,pn-6,al_pn-6,88%,57 patients
