id,brewery_id,brewery_name,beer_name,style,ounces,abv,ibu,city,state
2216,27,450 North Brewing Company,Copperhead Amber,Belgian Dark Ale,16.0 oz,0.05%,18.0,Columbus,IN
972,481,7 Seas Brewing Company,Rude Parrot IPA,American IPA,16.0 oz,0.059,75.0,Gig Harbor,WA
866,481,7 Seas Brewing Company,British Pale Ale (2010),English Pale Ale,16.0 oz,0.054,30.0,Gig Harbor,WA
48,481,7 Seas Brewing Company,British Pale Ale,English Pale Ale,16.0 ounce,0.054,30.0,Gig Harbor,WA
47,481,7 Seas Brewing Company,Ballz Deep Double IPA,American Double / Imperial IPA,16.0 oz.,0.084,82.0,Gig Harbor,WA
1583,373,7venth Sun,Wolfman's Berliner,Berliner Weissbier,12.0 oz.,0.038,empty,Dunedin,FL
1165,462,AC Golden Brewing Company,Colorado Native,American Amber / Red Lager,12.0 oz,0.055,26.0,Golden,CO
431,462,AC Golden Brewing Company,Colorado Native (2011),American Amber / Red Lager,12.0 ounce,0.055,26.0,Golden,CO
516,533,Abita Brewing Company,Jockamo IPA,American IPA,12.0 oz.,0.065,52.0,Abita Springs,LA
515,533,Abita Brewing Company,Purple Haze,Fruit / Vegetable Beer,12.0 oz,0.042,13.0,Abita Springs,LA
514,533,Abita Brewing Company,Abita Amber,American Amber / Red Lager,12.0 oz.,0.045,17.0,Abita Springs,LA
2540,62,Against The Grain Brewery,Citra Ass Down,American IPA,16.0 ounce,0.082,68.0,Louisville,KY
2539,62,Against The Grain Brewery,The Brown Note,American Brown Ale,16.0 ounce,0.05,20.0,Louisville,KY
2686,1,Against the Grain Brewery,Citra Ass Down,American Double / Imperial IPA,16.0 ounce,0.08,68.0,Louisville,KY
2685,1,Against the Grain Brewery,London Balling,English Barleywine,16.0 oz.,0.13%,80.0,Louisville,KY
2684,1,Against the Grain Brewery,35 K,Milk / Sweet Stout,16.0 OZ.,0.077,25.0,Louisville,KY
2683,1,Against the Grain Brewery,A Beer,American Pale Ale (APA),16.0 oz.,0.042,42.0,Louisville,KY
2682,1,Against the Grain Brewery,Rules are Rules,German Pilsener,16.0 oz,0.05,25.0,Louisville,KY
2681,1,Against the Grain Brewery,Flesh Gourd'n,Pumpkin Ale,16.0 ounce,0.066,21.0,Louisville,KY
2680,1,Against the Grain Brewery,Sho'nuff,Belgian Pale Ale,16.0 oz,0.04,13.0,Louisville,KY
2679,1,Against the Grain Brewery,Bloody Show,American Pilsner,16.0 oz.,0.055,17.0,Louisville,KY
2678,1,Against the Grain Brewery,Rico Sauvin,American Double / Imperial IPA,16.0 ounce,0.076,68.0,Louisville,KY
2677,1,Against the Grain Brewery,Coq de la Marche,Saison / Farmhouse Ale,16.0 OZ.,0.05%,38.0,Louisville,KY
2676,1,Against the Grain Brewery,Kamen Knuddeln,American Wild Ale,16.0 ounce,0.07%,empty,Louisville,KY
2675,1,Against the Grain Brewery,Pile of Face,American IPA,16.0 oz.,0.06,65.0,Louisville,KY
2674,1,Against the Grain Brewery,The Brown Note,English Brown Ale,16.0 oz,0.05,20.0,Louisville,KY
1594,367,Airways Brewing Company,Maylani's Coconut Stout,American Stout,16.0 ounce,0.053,35.0,Kent,WA
1162,367,Airways Brewing Company,Oatmeal PSA,American Pale Ale (APA),16.0 OZ.,0.05,35.0,Kent,WA
1137,367,Airways Brewing Company,Pre Flight Pilsner,American Pilsner,16.0 oz.,0.052,33.0,Kent,WA
2403,117,Alameda Brewing,P-Town Pilsner,American Pilsner,12.0 OZ.,0.04,20.0,Portland,OR
2402,117,Alameda Brewing,Klickitat Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.053,36.0,Portland,OR
2401,117,Alameda Brewing,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0 oz,0.082,103.0,Portland,OR
1921,270,Alaskan Brewing Company,Freeride APA,American Pale Ale (APA),12.0 oz.,0.053,40.0,Juneau,AK
1920,270,Alaskan Brewing Company,Alaskan Amber,Altbier,12.0 OZ.,0.053,18.0,Juneau,AK
2501,73,Ale Asylum,Hopalicious,American Pale Ale (APA),12.0 OZ.,0.057,empty,Madison WI,empty
1535,388,Alltech's Lexington Brewing Company,Kentucky Kölsch,Kölsch,16.0 oz,0.043,empty,Lexington,KY
1149,388,Alltech's Lexington Brewing Company,Kentucky IPA,American IPA,16.0 OZ.,0.065,empty,Lexington,KY
1474,401,Amnesia Brewing Company,Dusty Trail Pale Ale,American Pale Ale (APA),16.0 oz. Alumi-Tek,0.054,empty,Washougal,WA
1473,401,Amnesia Brewing Company,Damnesia,American IPA,16.0 oz,0.062,empty,Washougal,WA
837,401,Amnesia Brewing Company,Desolation IPA,American IPA,16.0 ounce,0.062,43.0,Washougal,WA
2592,35,Anchor Brewing Company,Liberty Ale,American IPA,12.0 oz. Alumi-Tek,0.06%,empty,San Francisco,CA
2578,35,Anchor Brewing Company,IPA,American IPA,12.0 ounce,0.07%,empty,San Francisco,CA
2577,35,Anchor Brewing Company,Summer Wheat,American Pale Wheat Ale,12.0 oz,0.05%,empty,San Francisco,CA
2103,35,Anchor Brewing Company,California Lager,American Amber / Red Lager,12.0 oz.,0.049,empty,San Francisco,CA
2102,35,Anchor Brewing Company,Brotherhood Steam,California Common / Steam Beer,12.0 ounce,0.06%,empty,San Francisco,CA
2291,171,Anderson Valley Brewing Company,Blood Orange Gose,Gose,12.0 oz.,0.042,empty,Boonville,CA
1818,171,Anderson Valley Brewing Company,Keebarlin' Pale Ale,American Pale Ale (APA),12.0 oz,0.042,empty,Boonville,CA
1738,171,Anderson Valley Brewing Company,"the Kimmie, the Yink and the Holy Gose",Gose,12.0 oz.,0.05%,empty,Boonville,CA
1563,171,Anderson Valley Brewing Company,Fall Hornin',Pumpkin Ale,12.0 oz,0.06,empty,Boonville,CA
1520,171,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0 ounce,0.057,13.0,Boonville,CA
1350,171,Anderson Valley Brewing Company,Summer Solstice,Cream Ale,12.0 ounce,0.056,4.0,Boonville,CA
1327,171,Anderson Valley Brewing Company,Hop Ottin' IPA,American IPA,12.0 oz,0.07,80.0,Boonville,CA
1326,171,Anderson Valley Brewing Company,Boont Amber Ale,American Amber / Red Ale,12.0 oz.,0.06%,15.0,Boonville,CA
1221,171,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0 oz. Alumi-Tek,0.057,13.0,Boonville,CA
1217,171,Anderson Valley Brewing Company,El Steinber Dark Lager,Vienna Lager,16.0 oz,0.055,25.0,Boonville,CA
811,171,Anderson Valley Brewing Company,Boont Amber Ale (2010),American Amber / Red Ale,12.0 oz.,0.06%,15.0,Boonville,CA
753,171,Anderson Valley Brewing Company,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0 oz,0.056,4.0,Boonville,CA
572,171,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0 oz,0.06%,13.0,Boonville,CA
523,171,Anderson Valley Brewing Company,Winter Solstice,Winter Warmer,12.0 ounce,0.07%,6.0,Boonville,CA
367,171,Anderson Valley Brewing Company,Hop Ottin' IPA (2011),American IPA,12.0 ounce,0.07,80.0,Boonville,CA
78,171,Anderson Valley Brewing Company,Boont Amber Ale (2011),American Amber / Red Ale,12.0 ounce,0.058,15.0,Boonville,CA
77,171,Anderson Valley Brewing Company,Summer Solstice (2011),Cream Ale,12.0 oz.,0.056,4.0,Boonville,CA
76,171,Anderson Valley Brewing Company,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0 oz.,0.055,28.0,Boonville,CA
2337,146,Angry Minnow,Charlie's Rye IPA,American IPA,16.0 ounce,0.06,empty,Hayward,WI
410,0,Angry Minnow Brewing Company,River Pig Pale Ale,American Pale Ale (APA),16.0 oz,0.05%,empty,Hayward,WI
409,0,Angry Minnow Brewing Company,Oaky's Oatmeal Stout,Oatmeal Stout,16.0 oz.,0.05%,empty,Hayward WI,empty
1294,434,Angry Orchard Cider Company,Angry Orchard Apple Ginger,Cider,16.0 oz.,0.05,empty,Cincinnati,OH
1293,434,Angry Orchard Cider Company,Angry Orchard Crisp Apple,Cider,16.0 oz.,0.05%,empty,Cincinnati,OH
1292,434,Angry Orchard Cider Company,Angry Orchard Crisp Apple,Cider,12.0 OZ.,0.05,empty,Cincinnati,OH
2207,193,Anthem Brewing Company,Golden One,Belgian Pale Ale,12.0 oz.,0.068,empty,Oklahoma City,OK
2040,193,Anthem Brewing Company,Arjuna,Witbier,12.0 ounce,0.06,empty,Oklahoma City,OK
2039,193,Anthem Brewing Company,Uroboros,American Stout,12.0 OZ.,0.09%,empty,Oklahoma City,OK
2511,69,Appalachian Mountain Brewery,Long Leaf,American IPA,16.0 oz.,0.071,75.0,Boone,NC
2510,69,Appalachian Mountain Brewery,Honey Badger Blonde,American Blonde Ale,16.0 oz. Alumi-Tek,0.047,19.0,Boone,NC
2509,69,Appalachian Mountain Brewery,Porter (a/k/a Black Gold Porter),American Porter,16.0 ounce,0.06,23.0,Boone,NC
413,541,Arcadia Brewing Company,Sky High Rye,American Pale Ale (APA),12.0 oz. Silo Can,0.06%,55.0,Battle Creek,MI
390,541,Arcadia Brewing Company,Whitsun,American Pale Wheat Ale,12.0 oz.,0.062,17.0,Battle Creek,MI
735,513,Arctic Craft Brewery,On-On Ale (2008),American Pale Ale (APA),12.0 oz,0.052,empty,Colorado Springs,CO
1333,0,Armadillo Ale Works,Quakertown Stout,American Double / Imperial Stout,12.0 ounce,0.092,50.0,Denton TX,empty
1332,0,Armadillo Ale Works,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0 oz.,0.05%,20.0,Denton,TX
1172,461,Armstrong Brewing Company,Mo's Gose,Gose,16.0 oz,0.052,10.0,South San Francisco,CA
1322,429,Asher Brewing Company,Green Bullet Organic India Pale Ale,American IPA,16.0 oz.,0.07,45.0,Boulder,CO
550,0,Asheville Brewing Company,Rocket Girl,Kölsch,12.0 oz,0.032,27.0,Asheville,NC
429,0,Asheville Brewing Company,Ninja Porter,American Porter,12.0 oz,0.053,26.0,Asheville,NC
428,528,Asheville Brewing Company,Shiva IPA,American IPA,12.0 oz.,0.06,69.0,Asheville,NC
1640,353,Aslan Brewing Company,Aslan Kölsch,Kölsch,16.0 ounce,0.048,empty,Bellingham,WA
1639,353,Aslan Brewing Company,Aslan IPA,American IPA,16.0 oz. Alumi-Tek,0.077,empty,Bellingham,WA
1638,353,Aslan Brewing Company,Aslan Amber,American Amber / Red Ale,16.0 oz. Silo Can,0.077,empty,Bellingham,WA
597,523,Aspen Brewing Company,This Season's Blonde,American Blonde Ale,12.0 oz.,0.056,27.0,Aspen,CO
596,523,Aspen Brewing Company,Independence Pass Ale,American IPA,12.0 oz,0.07%,67.0,Aspen,CO
1580,374,Astoria Brewing Company,Trolley Stop Stout,American Stout,12.0 oz.,0.057,40.0,Astoria,OR
980,374,Astoria Brewing Company,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0 oz.,0.08%,138.0,Astoria,OR
979,374,Astoria Brewing Company,Poop Deck Porter,American Porter,12.0 ounce,0.062,35.0,Astoria,OR
978,374,Astoria Brewing Company,Old Red Beard Amber Ale,American Amber / Red Ale,12.0 OZ.,0.06,35.0,Astoria,OR
2503,72,Atwater Brewery,Hop A-Peel,American Double / Imperial IPA,16.0 ounce,0.075,115.0,Detroit,MI
2502,72,Atwater Brewery,Vanilla Java Porter,American Porter,16.0 oz.,0.06%,12.0,Detroit,MI
2495,72,Atwater Brewery,Michelada,Fruit / Vegetable Beer,16.0 oz,0.052,empty,Detroit,MI
534,72,Atwater Brewery,Dirty Blonde Ale,American Blonde Ale,12.0 oz.,0.045,8.0,Detroit,MI
528,72,Atwater Brewery,Grand Circus IPA,American IPA,12.0 oz,0.05%,62.0,Detroit,MI
527,0,Atwater Brewery,Atwater's Lager,Munich Helles Lager,12.0 oz.,0.05,12.0,Detroit,MI
1409,413,Austin Beerworks,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0 oz,0.07,empty,Austin,TX
343,413,Austin Beerworks,Fire Eagle IPA,American IPA,12.0 OZ.,0.06%,empty,Austin,TX
342,413,Austin Beerworks,Peacemaker,American Pale Ale (APA),12.0 oz,0.051,empty,Austin,TX
341,413,Austin Beerworks,Pearl-Snap,German Pilsener,12.0 oz.,0.053,empty,Austin,TX
340,413,Austin Beerworks,Black Thunder,Schwarzbier,12.0 ounce,0.052,empty,Austin,TX
2589,37,Avery Brewing Company,Raja,American Double / Imperial IPA,12.0 oz.,0.08%,empty,Boulder,CO
2546,37,Avery Brewing Company,Perzik Saison,Saison / Farmhouse Ale,12.0 oz.,0.064,empty,Boulder,CO
146,37,Avery Brewing Company,Avery Joe’s Premium American Pilsner,German Pilsener,12.0 oz.,0.047,42.0,Boulder,CO
108,37,Avery Brewing Company,White Rascal,Witbier,12.0 oz.,0.056,10.0,Boulder,CO
107,37,Avery Brewing Company,Avery India Pale Ale,American IPA,12.0 oz,0.063,69.0,Boulder,CO
106,37,Avery Brewing Company,Ellie’s Brown Ale,American Brown Ale,12.0 ounce,0.055,17.0,Boulder,CO
1620,360,Aviator Brewing Company,Pumpkin Beast,Pumpkin Ale,12.0 oz. Alumi-Tek,0.062,17.0,Fuquay-Varina,NC
1579,360,Aviator Brewing Company,OktoberBeast,Märzen / Oktoberfest,12.0 oz.,0.072,22.0,Fuquay-Varina,NC
1228,360,Aviator Brewing Company,Mad Beach,American Pale Wheat Ale,12.0 ounce,0.05%,23.0,Fuquay-Varina,NC
705,360,Aviator Brewing Company,Hog Wild India Pale Ale,American IPA,12.0 oz.,0.067,empty,Fuquay-Varina,NC
704,360,Aviator Brewing Company,Devils Tramping Ground Tripel,Tripel,12.0 oz.,0.092,5.0,Fuquay-Varina,NC
702,360,Aviator Brewing Company,Hot Rod Red,American Amber / Red Ale,12.0 ounce,0.061,41.0,Fuquay-Varina,NC
2058,235,Back East Brewing Company,Palate Mallet,American Double / Imperial IPA,12.0 ounce,0.086,empty,Bloomfield,CT
1483,235,Back East Brewing Company,Back East Porter,American Porter,12.0 oz.,0.06,empty,Bloomfield,CT
1426,235,Back East Brewing Company,Back East Golden Ale,American Blonde Ale,12.0 OZ.,0.05%,empty,Bloomfield,CT
1132,235,Back East Brewing Company,Misty Mountain IPA,American IPA,12.0 oz.,0.07,empty,Bloomfield,CT
1131,235,Back East Brewing Company,Back East Ale,American Amber / Red Ale,12.0 ounce,0.05,empty,Bloomfield,CT
1876,286,Back Forty Beer Company,Truck Stop Honey Brown Ale,English Brown Ale,12.0 ounce,0.06%,empty,Gadsden,AL
1875,286,Back Forty Beer Company,Naked Pig Pale Ale,American Pale Ale (APA),12.0 oz,0.06%,43.0,Gadsden,AL
966,483,Bale Breaker Brewing Company,Topcutter India Pale Ale,American IPA,12.0 ounce,0.068,70.0,Yakima,WA
965,483,Bale Breaker Brewing Company,Field 41 Pale Ale,American Pale Ale (APA),12.0 ounce,0.04%,38.0,Yakima,WA
2593,34,Ballast Point Brewing Company,Grapefruit Sculpin,American IPA,12.0 ounce,0.07%,empty,San Diego,CA
2105,0,Ballast Point Brewing Company,Even Keel,American IPA,12.0 ounce,0.04%,40.0,San Diego,CA
1401,34,Ballast Point Brewing Company,Ballast Point Pale Ale,Kölsch,12.0 OZ.,0.05%,23.0,San Diego,CA
1400,34,Ballast Point Brewing Company,Big Eye India Pale Ale,American IPA,12.0 OZ.,0.07,75.0,San Diego,CA
1019,34,Ballast Point Brewing Company,Longfin Lager,Munich Helles Lager,12.0 oz,0.046,empty,San Diego,CA
1018,34,Ballast Point Brewing Company,Sculpin IPA,American IPA,12.0 oz.,0.07,70.0,San Diego,CA
1776,318,Banner Beer Company,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0 oz. Alumi-Tek,0.045,empty,Williamsburg,MA
1644,318,Banner Beer Company,Banner American Rye,Rye Beer,12.0 oz,0.05%,20.0,Williamsburg,MA
1643,318,Banner Beer Company,Banner American Ale,American Amber / Red Ale,12.0 ounce,0.035,45.0,Williamsburg,MA
2618,20,Bare Hands Brewery,Thai.p.a,American IPA,16.0 oz,0.07,46.0,Granger,IN
2005,251,Barrio Brewing Company,Barrio Blanco,American IPA,12.0 oz.,0.06,60.0,Tucson,AZ
1343,251,Barrio Brewing Company,Barrio Tucson Blonde,American Blonde Ale,12.0 oz,0.045,empty,Tucson,AZ
2404,116,Base Camp Brewing Co.,Hop in the ‘Pool Helles,American Pilsner,12.0 oz. Alumi-Tek,0.05%,22.0,Portland,OR
2323,116,Base Camp Brewing Co.,Ultra Gnar Gnar IPA,American IPA,12.0 oz.,0.067,60.0,Portland,OR
2189,116,Base Camp Brewing Co.,In-Tents India Pale Lager,American Pale Lager,12.0 ounce,0.068,62.0,Portland,OR
2188,116,Base Camp Brewing Co.,Lost Meridian Wit,Witbier,12.0 oz.,0.05,20.0,Portland,OR
2187,116,Base Camp Brewing Co.,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0 oz,0.051,45.0,Portland,OR
1966,258,Bauhaus Brew Labs,Wagon Party,California Common / Steam Beer,12.0 ounce,0.054,55.0,Minneapolis,MN
1965,258,Bauhaus Brew Labs,Sky-Five,American IPA,12.0 oz.,0.07%,70.0,Minneapolis,MN
1964,258,Bauhaus Brew Labs,Stargrazer,Schwarzbier,12.0 oz.,0.05,28.0,Minneapolis,MN
1963,258,Bauhaus Brew Labs,Wonderstuff,German Pilsener,12.0 oz.,0.054,48.0,Minneapolis,MN
1855,292,Baxter Brewing Company,Tarnation California-Style Lager,California Common / Steam Beer,12.0 oz,0.053,empty,Lewiston,ME
1778,292,Baxter Brewing Company,On the Count of 3 (2015),Hefeweizen,16.0 oz,0.07%,42.0,Lewiston,ME
1209,292,Baxter Brewing Company,Summer Swelter,American Pale Wheat Ale,12.0 oz,0.047,empty,Lewiston,ME
954,292,Baxter Brewing Company,Phantom Punch Winter Stout,Foreign / Export Stout,12.0 oz.,0.068,empty,Lewiston,ME
910,292,Baxter Brewing Company,Hayride Autumn Ale,Rye Beer,12.0 ounce,0.066,empty,Lewiston,ME
707,292,Baxter Brewing Company,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0 oz.,0.047,empty,Lewiston,ME
533,292,Baxter Brewing Company,Amber Road,American Amber / Red Ale,12.0 oz.,0.055,35.0,Lewiston,ME
183,292,Baxter Brewing Company,Pamola Xtra Pale Ale,American Pale Ale (APA),12.0 OZ.,0.05%,28.0,Lewiston,ME
182,292,Baxter Brewing Company,Stowaway IPA,American IPA,12.0 oz,0.069,69.0,Lewiston,ME
1806,306,Beach Brewing Company,Hoptopus Double IPA,American Double / Imperial IPA,16.0 ounce,0.088,108.0,Virginia Beach,VA
2435,103,Beer Works Brewery,Watermelon Ale,Fruit / Vegetable Beer,12.0 OZ.,0.05,10.0,Lowell,MA
2423,103,Beer Works Brewery,Fenway American Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.06%,45.0,Lowell,MA
2420,103,Beer Works Brewery,Back Bay IPA,American IPA,12.0 oz.,0.07%,85.0,Lowell,MA
2419,103,Beer Works Brewery,Bunker Hill Blueberry Ale,Other,12.0 ounce,0.048,16.0,Lowell,MA
2494,76,Bell's Brewery,Oberon,American Pale Wheat Ale,12.0 oz,0.06%,empty,Kalamazoo,MI
2325,76,Bell's Brewery,Smitten,Rye Beer,16.0 oz.,0.06%,empty,Kalamazoo,MI
2022,76,Bell's Brewery,Winter White,Witbier,16.0 oz.,0.05,empty,Kalamazoo,MI
1989,76,Bell's Brewery,Oberon,American Pale Wheat Ale,16.0 oz.,0.058,empty,Kalamazoo,MI
1988,76,Bell's Brewery,Two Hearted,American IPA,16.0 OZ.,0.07,empty,Kalamazoo,MI
1955,76,Bell's Brewery,Best Brown,American Brown Ale,16.0 oz.,0.058,empty,Kalamazoo,MI
2558,53,Bent Brewstillery,Moar,English India Pale Ale (IPA),12.0 oz.,0.044,44.0,Roseville,MN
2557,53,Bent Brewstillery,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0 ounce,0.083,empty,Roseville,MN
2556,53,Bent Brewstillery,Nordic Blonde,American Blonde Ale,12.0 oz.,0.06%,27.0,Roseville,MN
2496,75,Bent Paddle Brewing Company,Cold Press,American Black Ale,12.0 OZ.,0.06,empty,Duluth,MN
2410,75,Bent Paddle Brewing Company,Harness the Winter,American IPA,12.0 oz.,0.072,87.0,Duluth,MN
1902,75,Bent Paddle Brewing Company,14° ESB,Extra Special / Strong Bitter (ESB),12.0 ounce,0.056,32.0,Duluth,MN
1901,75,Bent Paddle Brewing Company,Bent Hop Golden IPA,American IPA,12.0 oz.,0.062,68.0,Duluth,MN
1261,0,Bent Paddle Brewing Company,Bent Paddle Black Ale,American Black Ale,12.0 oz.,0.06%,34.0,Duluth,MN
1253,75,Bent Paddle Brewing Company,Venture Pils,German Pilsener,12.0 oz.,0.05,38.0,Duluth,MN
1900,278,Berkshire Brewing Company,Lost Sailor IPA,English India Pale Ale (IPA),12.0 ounce,0.055,40.0,South Deerfield,MA
1317,278,Berkshire Brewing Company,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0 oz,0.053,20.0,South Deerfield,MA
