277.hospitalowner,oluntary non-profit - church,voluntary non-profit - church
226.hospitalname,callahan eye foundation hospital,dekalb regional medical center
95.condition,heat attack,heart attack
125.hospitalname,callahan eye foundation hospital,crenshaw community hospital
8.hospitalname,callahan eye foundation hospoital,callahan eye foundation hospital
459.city,shfefield,sheffield
456.address1,130 south montgomery avenue,1300 south montgomery avenue
219.hospitalname,callahan eye foundation hospital,st vincents east
392.stateavg,a_pn-3b,al_pn-3b
262.hospitalname,callahan eye foundation hospital,southwest alabama medical center
6.hospitalname,callahan eye foundation hosfpital,callahan eye foundation hospital
494.countyname,cherokee***,cherokee
331.hospitalname,strigfellow memorial hospital,stringfellow memorial hospital
275.hospitalname,callahan eye foundation hospital,shelby baptist medical center
788.city,huntysville,huntsville
461.city,sheffeild,sheffield
603.hospitalname,elba general hosital,elba general hospital
484.hospitalname,dale medical centre,dale medical center
98.zipcode,35233,36467
520.hospitalname,bapptist medical center south,baptist medical center south
482.hospitalname,dale medical cpenter,dale medical center
380.measurename,heartg attack patients given aspirin at arrival,heart attack patients given aspirin at arrival
916.zipcode,53901,35901
759.hospitalname,adalusia regional hospital,andalusia regional hospital
296.zipcode,3523,35233
458.city,heffield,sheffield
242.hospitalname,callahan eye foundation hospital,dekalb regional medical center
905.state,aml,al
693.address1,805 friendship roda,805 friendship road
309.state,l,al
301.hospitalname,callahan eye foundation hospitla,callahan eye foundation hospital
720.emergencyservice,yles,yes
305.hospitalname,callahan eye foundtaion hospital,callahan eye foundation hospital
831.stateavg,al_aim-4,al_ami-4
564.zipcode,36016,36106
239.hospitalname,callahan eye foundation hospital,dekalb regional medical center
298.zipcode,35l233,35233
421.measurename,heart attack patients given pci within 90 minutes of arrivla,heart attack patients given pci within 90 minutes of arrival
454.address1,1300 south montgoery avenue,1300 south montgomery avenue
32.hospitalname,southeast alabama mbedical center,southeast alabama medical center
113.state,l,al
464.hospitalowner,government - hospital districto r authority,government - hospital district or authority
291.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control inthe days right after surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
311.state,apl,al
216.hospitalname,callahan eye foundation hospital,st vincents east
253.emergencyservice,es,yes
739.zipcode,35508,35058
278.city,birmingham,alabaster
638.zipcode,63801,36801
452.zipcode,99559***,99559
140.hospitalname,callahan eye foundation hospital,crenshaw community hospital
110.state,la,al
370.hospitalname,northwest meical center,northwest medical center
829.condition,heart atatck,heart attack
569.city,vallye,valley
97.stateavg,alami-3,al_ami-3
879.phonenumber,2059352966,2059325966
680.city,birminghaqm,birmingham
302.hospitalname,callahan eye founation hospital,callahan eye foundation hospital
237.hospitalname,callahan eye foundation hospital,dekalb regional medical center
462.hospitalowner,government - hospital district or eauthority,government - hospital district or authority
746.countyname,covinton,covington
656.zipcode,36287,36278
9.hospitalowner,government - hopital district or authority,government - hospital district or authority
459.address1,1300 south montgomery aveneu,1300 south montgomery avenue
240.hospitalname,callahan eye foundation hospital,dekalb regional medical center
536.measurename,urgery patients who were given the  right kind  of antibiotic to help prevent infection,surgery patients who were given the  right kind  of antibiotic to help prevent infection
45.condition,heart attcak,heart attack
248.condition,heart attack***,heart attack
457.address1,1300 southc montgomery avenue,1300 south montgomery avenue
613.emergencyservice,es,yes
264.hospitalname,callahan eye foundation hospital,southwest alabama medical center
195.measurename,heart attack patienst given aspirin at arrival,heart attack patients given aspirin at arrival
463.condition,surgical infectin prevention,surgical infection prevention
235.condition,pnuemonia,pneumonia
466.hospitalname,helen keller memorial hospiatl,helen keller memorial hospital
672.stateavg,aul_ami-7a,al_ami-7a
785.zipcode,35810,35801
145.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given aspirin at arrival
463.phonenumber,25s63864556,2563864556
652.hospitalowner,government- local,government - local
932.condition,hear tattack,heart attack
137.hospitalname,callahan eye foundation hospital,crenshaw community hospital
22.stateavg,xal_ami-3,al_ami-3
204.state,la,al
673.hospitalowner,government - stte,government - state
20.measurename,heart attack patients given aspirinl at arrival,heart attack patients given aspirin at arrival
299.zipcode,m35233,35233
146.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given aspirin at discharge
93.state,la,al
28.address1,1108 ross clark crcle,1108 ross clark circle
672.state,acl,al
282.countyname,sheby,shelby
438.measurename,pneumonia patients whose initial emergency room blood culture was performed pior to the administration of the first hospital dose of antibiotics,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
879.condition,haert attack,heart attack
364.countyname,maroin,marion
725.zipcode,5058,35058
456.city,siheffield,sheffield
878.measurename,heart attack patients given apsirin at arrival,heart attack patients given aspirin at arrival
45.measurename,heart attack patients given aspirin at rrival,heart attack patients given aspirin at arrival
849.hospitalname,chilton medical pcenter,chilton medical center
304.city,birmingam,birmingham
73.stateavg,val_ami-4,al_ami-4
415.measurename,heart attack pateints given aspirin at arrival,heart attack patients given aspirin at arrival
984.stateavg,al_aimi-4,al_ami-4
223.hospitalname,callahan eye foundation hospital,dekalb regional medical center
120.city,lpuverne,luverne
847.address1,1010 layf dam road,1010 lay dam road
79.stateavg,wal_hf-3,al_hf-3
96.zipcode,35233,36467
261.hospitalname,callahan eye foundation hospital,southwest alabama medical center
854.condition,hieart attack,heart attack
60.state,la,al
338.emergencyservice,es,yes
241.hospitalname,callahan eye foundation hospital,dekalb regional medical center
47.stateavg,al_azmi-3,al_ami-3
856.stateavg,al_ami4-,al_ami-4
463.hospitalowner,overnment - hospital district or authority,government - hospital district or authority
279.city,birmingham,alabaster
464.phonenumber,256386556,2563864556
240.condition,surical infection prevention,surgical infection prevention
535.phonenumber,3p342882100,3342882100
147.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
888.countyname,afyette,fayette
281.city,birmingham,alabaster
446.hospitalname,alasika regional hospital,alaska regional hospital
942.state,kal,al
100.zipcode,35233,36467
209.zipcode,3235,35235
903.stateavg,al_cac1,al_cac-1
453.address1,1300 sourth montgomery avenue,1300 south montgomery avenue
719.hospitalowner,governmnt - hospital district or authority,government - hospital district or authority
975.emergencyservice,es,yes
122.stateavg,alami-3,al_ami-3
277.city,birmingham,alabaster
149.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given beta blocker at discharge
274.hospitalname,callahan eye foundation hospital,shelby baptist medical center
150.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given fibrinolytic medication within 30 minutes of arrival
227.hospitalname,callahan eye foundation hospital,dekalb regional medical center
750.stateavg,al_h-2,al_hf-2
459.phonenumber,2568364556,2563864556
460.phonenumber,2568364556,2563864556
136.hospitalname,callahan eye foundation hospital,crenshaw community hospital
70.condition,hear attack,heart attack
220.hospitalname,callahan eye foundation hospital,dekalb regional medical center
125.phonenumber,3343353347,3343353374
60.hospitalowner,government - hospital district lor authority,government - hospital district or authority
451.measurename,heart attack pateints given aspirin at arrival,heart attack patients given aspirin at arrival
295.zipcode,3j5233,35233
217.hospitalname,callahan eye foundation hospital,st vincents east
982.condition,hetart attack,heart attack
909.stateavg,alami-4,al_ami-4
120.hospitalname,callahan eye foundation hospital,crenshaw community hospital
436.measurename,heart ailure patients given smoking cessation advice/counseling,heart failure patients given smoking cessation advice/counseling
152.countyname,omrgan,morgan
151.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given pci within 90 minutes of arrival
497.zipcode,o35960,35960
603.emergencyservice,es,yes
339.zipcode,33605,36305
969.state,l,al
349.measurename,hear attack patients given aspirin at arrival,heart attack patients given aspirin at arrival
72.stateavg,al_pami-3,al_ami-3
69.state,l,al
297.zipcode,3523,35233
672.emergencyservice,ys,yes
933.state,la,al
688.hospitalowner,governmnt - state,government - state
233.emergencyservice,yse,yes
300.zipcode,3z5233,35233
152.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given discharge instructions
871.stateavg,al_scipinf-1,al_scip-inf-1
307.state,yal,al
934.stateavg,abl_ami-4,al_ami-4
606.city,eclba,elba
277.hospitalname,callahan eye foundation hospital,shelby baptist medical center
512.address1,400 northwooddr,400 northwood dr
461.phonenumber,2x563864556,2563864556
308.state,la,al
964.stateavg,al_hfl-2,al_hf-2
33.phonenumber,3347938z701,3347938701
224.hospitalname,callahan eye foundation hospital,dekalb regional medical center
461.hospitalowner,government - hospital district or athority,government - hospital district or authority
87.hospitalname,eliza coffee memoribal hospital,eliza coffee memorial hospital
148.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart attack patients given smoking cessation advice/counseling
310.condition,peumonia,pneumonia
56.condition,neumonia,pneumonia
847.city,clantorn,clanton
123.hospitalname,callahan eye foundation hospital,crenshaw community hospital
674.emergencyservice,es,yes
483.countyname,dae,dale
