index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
49,aa,AA-3809-PHX-LAX,06:00 AM,06:10 AM,06:40 AM,06:19 AM
50,aa,AA-59-JFK-SFO,07:10 AM,07:39 AM,10:45 AM,11:12 AM
51,helloflight,0,07:10 AM,07:16 AM,09:40 AM,09:13 AM
52,helloflight,0,empty,07:42 PM,10:15 PM,empty
53,helloflight,0,06:40 AM,06:54 AM,09:25 AM,09:13 AM
54,helloflight,0,08:00 AM,08:29 AM,11:55 AM,09:13 AM
55,helloflight,0,empty,09:01 AM,0,09:13 AM
56,helloflight,0,07:45 PM,07:59 PM,10:30 PM,09:13 AM
57,helloflight,0,03:27 PM,03:28 PM,05:05 PM,09:13 AM
58,helloflight,0,11:25 AM,11:32 AM,0,03:31 PM
59,helloflight,AA-1544-SAN-ORD,empty,11:41 AM,0,09:13 AM
60,helloflight,UA-5487-SFO-MRY,empty,10:53 AM,0,09:13 AM
61,helloflight,0,11:25 PM,11:29 PM,6:55 AM Dec 02,09:13 AM
62,helloflight,UA-414-LAX-SFO,empty,06:10 AM,0,09:13 AM
63,helloflight,0,12:30 AM,12:41 AM,0,05:26 AM
64,helloflight,0,04:00 PM,03:58 PM,06:46 PM,09:13 AM
65,helloflight,0,empty,07:56 AM,09:21 AM,empty
66,helloflight,0,09:45 AM,10:19 AM,0,01:19 PM
67,helloflight,0,09:05 AM,10:10 AM,12:35 PM,09:13 AM
68,helloflight,UA-3515-IAD-MSP,empty,08:26 AM,0,09:13 AM
69,helloflight,0,07:00 AM,07:25 AM,09:55 AM,09:13 AM
70,helloflight,0,04:15 PM,04:29 PM,07:55 PM,09:13 AM
71,helloflight,0,empty,10:55 AM,0,09:13 AM
72,helloflight,0,02:30 PM,02:48 PM,0,07:10 PM
73,helloflight,0,empty,08:00 AM,0,11:06 AM
74,helloflight,UA-2314-ATL-PHL,empty,03:04 PM,0,09:13 AM
75,helloflight,0,11:50 AM,12:13 PM,03:50 PM,09:13 AM
76,helloflight,0,empty,12:06 PM,0,01:14 PM
77,helloflight,0,06:00 AM,06:08 AM,09:20 AM,09:13 AM
78,helloflight,0,11:05 AM,11:30 AM,04:57 PM,09:13 AM
79,helloflight,0,06:00 AM,06:02 AM,0,10:27 AM
80,helloflight,0,08:40 AM,08:40 AM,0,10:56 AM
81,helloflight,0,10:15 AM,10:19 AM,12:10 PM,09:13 AM
82,helloflight,0,01:00 PM,02:04 PM,02:35 PM,09:13 AM
83,helloflight,UA-854-SFO-IAH,empty,08:07 AM,0,09:13 AM
84,helloflight,UA-382-IAD-LAX,empty,12:56 PM,0,09:13 AM
85,helloflight,AA-4344-ORD-DTW,empty,12:14 PM,0,09:13 AM
86,helloflight,0,02:30 PM,02:26 PM,06:15 PM,09:13 AM
87,helloflight,0,12:00 PM,12:08 PM,01:45 PM,09:13 AM
88,helloflight,0,05:25 PM,05:22 PM,0,08:03 PM
89,helloflight,0,empty,08:36 PM,08:56 PM,empty
90,helloflight,0,10:40 AM,11:05 AM,02:45 PM,09:13 AM
91,helloflight,UA-248-PHX-ORD,empty,01:43 PM,0,09:13 AM
92,helloflight,0,empty,03:36 PM,empty,03:33 PM
93,helloflight,0,07:15 AM,07:21 AM,10:35 AM,09:13 AM
94,helloflight,0,06:30 PM,empty,07:25 PM,09:13 AM
95,helloflight,0,06:45 PM,06:55 PM,09:10 PM,08:53 PM
96,helloflight,0,12:00 PM,12:11 PM,03:15 PM,09:13 AM
97,helloflight,0,07:15 PM,empty,12:21 AM Dec 02,empty
98,helloflight,0,empty,02:38 PM,0,09:13 AM
99,helloflight,0,09:15 AM,09:14 AM,0,12:09 PM
100,helloflight,0,06:00 AM,06:56 AM,07:30 AM,09:13 AM
101,helloflight,0,07:10 AM,07:30 AM,09:35 AM,09:56 AM
102,helloflight,AA-1007-MIA-PHX,empty,05:09 PM,0,09:13 AM
103,helloflight,0,07:25 AM,07:39 AM,11:10 AM,09:13 AM
104,helloflight,0,03:50 PM,04:28 PM,06:23 PM,09:13 AM
105,helloflight,UA-938-DEN-ORD,empty,04:37 PM,0,09:13 AM
106,helloflight,0,08:00 PM,08:23 PM,09:45 PM,09:53 PM
107,helloflight,CO-16-LAX-EWR,10:25 AM,empty,06:44 PM,empty
108,helloflight,0,empty,07:31 AM,0,09:13 AM
109,helloflight,0,10:40 AM,11:02 AM,02:59 PM,09:13 AM
110,helloflight,0,01:33 PM,01:31 PM,04:31 PM,09:13 AM
111,helloflight,0,12:15 PM,12:41 PM,02:45 PM,09:13 AM
112,helloflight,0,01:29 PM,01:48 PM,0,04:17 PM
113,helloflight,0,11:55 PM,empty,5:50 AM Dec 02,09:13 AM
114,helloflight,0,empty,04:28 PM,12:29 AM,09:13 AM
115,helloflight,0,empty,empty,12:15 AM Dec 02,09:13 AM
116,helloflight,0,08:25 PM,empty,11:50 PM,09:13 AM
117,helloflight,0,06:59 AM,07:22 AM,10:34 AM,09:13 AM
118,helloflight,0,08:35 AM,08:51 AM,11:50 AM,09:13 AM
119,helloflight,UA-3373-IAD-PHL,empty,08:37 AM,empty,09:13 AM
120,helloflight,0,01:30 PM,empty,03:50 PM,empty
121,helloflight,0,02:53 PM,03:01 PM,0,04:59 PM
122,helloflight,UA-6273-YYC-SFO,empty,07:41 AM,0,09:13 AM
123,helloflight,0,11:08 PM,empty,5:11 AMDec 02,empty
124,helloflight,0,05:30 PM,empty,06:40 PM,09:13 AM
125,helloflight,0,empty,01:45 PM,0,09:13 AM
126,helloflight,UA-2704-DTW-PHX,empty,11:47 AM,0,09:13 AM
127,helloflight,AA-3063-SLC-LAX,empty,08:40 PM,0,09:13 AM
128,helloflight,UA-2708-EWR-CLT,empty,03:04 PM,0,09:13 AM
129,helloflight,0,02:30 PM,02:48 PM,0,07:10 PM
130,helloflight,0,empty,09:43 AM,11:45 AM,empty
131,helloflight,0,02:35 PM,02:44 PM,04:05 PM,09:13 AM
132,helloflight,0,02:55 PM,03:27 PM,05:55 PM,09:13 AM
133,helloflight,0,07:15 AM,07:22 AM,11:35 AM,09:13 AM
134,helloflight,0,12:10 PM,12:10 PM,02:15 PM,09:13 AM
135,helloflight,0,07:55 AM,08:04 AM,11:05 AM,09:13 AM
136,helloflight,0,empty,09:05 AM,11:53 AM,empty
137,helloflight,0,01:05 PM,01:19 PM,02:35 PM,09:13 AM
138,helloflight,0,empty,08:56 AM,0,09:13 AM
139,helloflight,0,03:05 PM,03:36 PM,06:30 PM,09:13 AM
140,helloflight,0,07:30 AM,08:04 AM,08:00 AM,09:13 AM
141,helloflight,0,04:00 PM,04:12 PM,06:40 PM,09:13 AM
142,helloflight,0,11:35 AM,11:52 AM,02:25 PM,09:13 AM
143,helloflight,0,02:55 PM,03:31 PM,0,05:26 PM
144,helloflight,0,11:55 AM,11:43 AM,06:17 PM,09:13 AM
145,helloflight,0,10:40 AM,10:54 AM,12:55 PM,09:13 AM
146,helloflight,0,06:45 AM,06:57 AM,07:45 AM,09:13 AM
147,helloflight,0,04:00 PM,03:58 PM,0,06:36 PM
148,helloflight,0,06:00 AM,06:10 AM,06:40 AM,06:19 AM
149,helloflight,0,07:10 AM,07:39 AM,10:45 AM,09:13 AM
150,helloflight,0,07:10 AM,07:31 AM,03:30 PM,09:13 AM
151,boston,AA-3859-IAH-ORD,07:10 AM,07:16 AM,0,09:32 AM
152,boston,CO-1586-IAH-MCO,empty,07:42 PM,0,09:13 AM
153,boston,0,06:40 AM,06:54 AM,0,09:28 AM
154,boston,0,08:00 AM,08:29 AM,0,11:58 AM
155,boston,UA-3925-IAD-ORF,empty,09:01 AM,0,09:13 AM
156,boston,0,07:45 PM,07:59 PM,0,empty
157,boston,0,12:00 PM,12:11 PM,0,03:16 PM
158,boston,0,03:27 PM,03:28 PM,05:05 PM,05:17 PM
159,boston,0,11:25 AM,11:32 AM,02:50 PM,09:13 AM
160,boston,UA-5487-SFO-MRY,empty,10:53 AM,0,09:13 AM
161,boston,0,11:25 PM,empty,0,empty
162,boston,UA-414-LAX-SFO,empty,06:10 AM,0,09:13 AM
163,boston,0,12:30 AM,12:58 AM,05:35 AM,09:13 AM
164,boston,0,04:00 PM,03:58 PM,0,06:28 PM
165,boston,CO-52-IAH-LAX,empty,07:56 AM,09:21 AM,09:13 AM
166,boston,0,empty,10:19 AM,01:16 PM,09:13 AM
167,boston,0,09:05 AM,10:10 AM,0,01:27 PM
168,boston,0,empty,08:26 AM,0,09:13 AM
169,boston,0,07:00 AM,07:25 AM,0,09:45 AM
170,boston,0,04:15 PM,04:29 PM,0,07:39 PM
171,boston,0,empty,10:55 AM,0,09:13 AM
172,boston,0,02:30 PM,02:48 PM,07:03 PM,09:13 AM
173,boston,0,empty,08:00 AM,0,09:13 AM
174,boston,UA-2314-ATL-PHL,empty,03:04 PM,0,09:13 AM
175,boston,AA-446-DFW-PHL,11:50 AM,12:13 PM,03:50 PM,04:09 PM
176,boston,0,empty,12:06 PM,0,09:13 AM
177,boston,0,06:00 AM,06:08 AM,0,09:05 AM
178,boston,0,11:05 AM,11:30 AM,0,05:05 PM
179,boston,0,06:00 AM,06:02 AM,10:20 AM,09:13 AM
180,boston,0,08:40 AM,08:40 AM,10:54 AM,09:13 AM
181,boston,AA-1664-MIA-ATL,10:15 AM,10:19 AM,12:10 PM,11:50 AM
182,boston,AA-1279-DFW-PHX,01:00 PM,02:04 PM,0,03:13 PM
183,boston,UA-854-SFO-IAH,empty,08:07 AM,0,09:13 AM
184,boston,UA-382-IAD-LAX,empty,12:56 PM,0,09:13 AM
185,boston,AA-4344-ORD-DTW,empty,12:14 PM,02:00 PM,09:13 AM
186,boston,0,02:30 PM,02:26 PM,0,05:42 PM
187,boston,UA-2945-PHL-CLT,12:00 PM,12:08 PM,0,01:15 PM
188,boston,0,05:25 PM,05:22 PM,08:22 PM,09:13 AM
189,boston,CO-47-IAH-LAX,empty,08:36 PM,08:56 PM,09:13 AM
190,boston,0,10:40 AM,11:05 AM,0,02:46 PM
191,boston,0,empty,01:43 PM,04:52 PM,empty
192,boston,AA-4330-CVG-ORD,empty,03:36 PM,04:00 PM,09:13 AM
193,boston,0,07:15 AM,07:21 AM,0,10:36 AM
194,boston,0,06:30 PM,empty,0,empty
195,boston,0,06:45 PM,06:55 PM,0,08:53 PM
196,boston,0,07:15 PM,Not Available,0,empty
197,boston,UA-843-LAX-ORD,empty,02:38 PM,0,09:13 AM
198,boston,0,09:15 AM,09:14 AM,0,12:09 PM
199,boston,0,06:00 AM,06:56 AM,07:30 AM,07:51 AM
200,boston,0,07:10 AM,07:30 AM,0,09:31 AM
201,boston,AA-1007-MIA-PHX,empty,05:09 PM,08:05 PM,09:13 AM
202,boston,0,03:50 PM,04:28 PM,0,06:38 PM
203,boston,0,empty,04:37 PM,0,09:13 AM
204,boston,0,08:00 PM,08:23 PM,0,09:53 PM
205,boston,0,10:25 AM,empty,06:44 PM,09:13 AM
206,boston,UA-2515-DFW-CLT,empty,07:31 AM,10:31 AM,09:13 AM
207,boston,0,10:40 AM,11:02 AM,0,03:04 PM
208,boston,0,01:33 PM,01:31 PM,0,04:23 PM
209,boston,0,12:15 PM,12:41 PM,0,02:46 PM
210,boston,0,01:29 PM,01:48 PM,04:17 PM,09:13 AM
211,boston,0,11:55 PM,empty,5:50 AM Dec 02,empty
212,boston,0,04:25 PM,Not Available,0,empty
213,boston,0,09:00 PM,Not Available,0,empty
214,boston,0,08:25 PM,empty,0,empty
215,boston,0,06:59 AM,07:22 AM,0,10:04 AM
216,boston,0,08:35 AM,08:51 AM,0,11:44 AM
217,boston,0,empty,08:37 AM,0,09:13 AM
218,boston,0,01:30 PM,empty,0,04:09 PM
219,boston,0,02:53 PM,03:01 PM,04:48 PM,09:13 AM
220,boston,UA-6273-YYC-SFO,empty,07:41 AM,0,09:13 AM
221,boston,UA-828-SFO-ORD,11:08 PM,empty,5:11 AMDec 02,empty
222,boston,CO-4888-IAH-DAL,05:30 PM,empty,06:09 PM,empty
223,boston,0,empty,01:45 PM,0,09:13 AM
224,boston,UA-2704-DTW-PHX,empty,11:47 AM,01:40 PM,09:13 AM
225,boston,0,empty,08:40 PM,09:20 PM,09:13 AM
226,boston,UA-2708-EWR-CLT,empty,03:04 PM,04:53 PM,09:13 AM
227,boston,0,02:30 PM,02:48 PM,07:03 PM,09:13 AM
228,boston,UA-1500-IAH-GUA,empty,09:43 AM,0,09:13 AM
229,boston,0,02:35 PM,02:44 PM,0,03:43 PM
230,boston,0,02:55 PM,03:27 PM,0,05:43 PM
231,boston,0,07:15 AM,07:22 AM,0,11:06 AM
232,boston,0,12:10 PM,12:10 PM,0,01:43 PM
233,boston,0,07:55 AM,08:04 AM,0,11:01 AM
234,boston,0,empty,09:05 AM,0,09:13 AM
235,boston,0,01:05 PM,01:19 PM,0,03:13 PM
236,boston,AA-415-BOS-ORD,empty,08:56 AM,10:40 AM,09:13 AM
237,boston,0,03:05 PM,03:36 PM,0,06:43 PM
238,boston,0,07:30 AM,08:04 AM,0,08:06 AM
239,boston,AA-1544-SAN-ORD,empty,11:41 AM,0,09:13 AM
240,boston,0,04:00 PM,04:12 PM,0,06:15 PM
241,boston,0,11:35 AM,11:52 AM,0,02:27 PM
242,boston,0,07:25 AM,07:39 AM,0,11:06 AM
243,boston,0,02:55 PM,03:31 PM,04:49 PM,09:13 AM
244,boston,0,11:55 AM,11:43 AM,0,05:38 PM
245,boston,0,10:40 AM,10:54 AM,0,12:50 PM
246,boston,0,06:45 AM,06:57 AM,0,07:40 AM
247,boston,0,04:00 PM,03:58 PM,0,06:36 PM
248,boston,0,06:00 AM,06:10 AM,0,06:19 AM
249,boston,0,07:10 AM,07:39 AM,0,11:12 AM
250,boston,0,07:10 AM,07:31 AM,0,03:14 PM
251,weather,0,07:10 AM,07:16 AM,0,09:32 AM
252,weather,0,06:40 AM,06:54 AM,0,09:28 AM
253,weather,0,08:00 AM,08:29 AM,0,11:58 AM
254,weather,0,empty,09:01 AM,0,09:43 AM
255,weather,0,07:45 PM,07:59 PM,10:30 PM,empty
256,weather,0,06:30 PM,empty,0,empty
257,weather,0,03:27 PM,03:28 PM,0,05:17 PM
258,weather,0,11:25 AM,11:32 AM,0,03:31 PM
259,weather,0,empty,11:41 AM,0,04:56 PM
260,weather,0,empty,10:53 AM,0,empty
261,weather,0,11:25 PM,empty,6:55 AM  Fri 02-Dec-2011,empty
262,weather,0,empty,06:10 AM,0,07:17 AM
263,weather,0,12:15 PM,12:41 PM,0,02:50 PM
264,weather,0,04:00 PM,03:58 PM,0,06:28 PM
265,weather,0,09:45 AM,empty,0,01:19 PM
266,weather,0,07:00 AM,07:25 AM,0,09:45 AM
267,weather,0,empty,08:26 AM,0,09:56 AM
268,weather,0,04:15 PM,04:29 PM,0,07:39 PM
269,weather,0,02:30 PM,02:48 PM,0,07:10 PM
270,weather,0,11:50 AM,12:13 PM,0,04:09 PM
271,weather,0,06:00 AM,06:08 AM,0,09:05 AM
272,weather,0,11:05 AM,11:30 AM,0,05:05 PM
273,weather,0,06:00 AM,06:02 AM,0,10:27 AM
274,weather,0,08:40 AM,08:40 AM,0,10:56 AM
275,weather,0,empty,10:55 AM,0,01:40 PM
276,weather,AA-1664-MIA-ATL,10:15 AM,10:19 AM,12:10 PM,11:50 AM
277,weather,0,07:30 AM,08:04 AM,0,08:06 AM
278,weather,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:19 PM
279,weather,0,12:30 AM,12:41 AM,0,05:26 AM
280,weather,0,09:05 AM,10:10 AM,0,01:27 PM
281,weather,0,empty,12:14 PM,empty,02:10 PM
282,weather,0,12:00 PM,12:08 PM,0,01:15 PM
283,weather,0,07:25 AM,07:39 AM,0,11:06 AM
284,weather,0,11:35 AM,11:52 AM,0,02:27 PM
285,weather,0,10:40 AM,11:05 AM,0,02:46 PM
286,weather,0,07:15 AM,07:21 AM,0,10:36 AM
287,weather,0,08:05 AM,08:00 AM,0,11:06 AM
288,weather,0,06:45 PM,06:55 PM,0,08:53 PM
289,weather,0,12:00 PM,12:11 PM,0,03:16 PM
290,weather,0,07:15 PM,empty,12:21 AM Dec 02,12:21 AM (Estimated)
291,weather,0,empty,02:38 PM,0,07:58 PM
292,weather,0,09:15 AM,09:14 AM,0,12:09 PM
293,weather,0,06:00 AM,06:56 AM,0,07:51 AM
294,weather,0,07:10 AM,07:30 AM,0,09:31 AM
295,weather,0,03:50 PM,04:28 PM,0,06:38 PM
296,weather,0,empty,04:37 PM,empty,07:36 PM
297,weather,0,08:00 PM,08:23 PM,0,09:53 PM
298,weather,CO-16-LAX-EWR,10:25 AM,empty,06:44 PM,empty
299,weather,0,empty,empty,0,10:47 AM
300,weather,0,10:40 AM,11:02 AM,0,03:04 PM
301,weather,0,01:33 PM,01:31 PM,0,04:23 PM
302,weather,0,11:55 PM,empty,5:50 AM Dec 02,empty
303,weather,0,04:25 PM,empty,12:29 AM  Fri 02-Dec-2011,12:01 AM (Estimated runway)
304,weather,0,09:00 PM,empty,12:15 AM Dec 02,11:49 PM (Estimated runway)
305,weather,0,08:25 PM,empty,0,empty
306,weather,0,06:59 AM,07:22 AM,0,10:04 AM
307,weather,0,08:35 AM,08:51 AM,0,11:44 AM
308,weather,0,02:30 PM,02:26 PM,0,05:42 PM
309,weather,0,empty,08:37 AM,empty,09:13 AM
310,weather,AA-649-ORD-SNA,01:30 PM,empty,0,04:09 PM
311,weather,0,02:53 PM,03:01 PM,0,04:59 PM
312,weather,0,empty,07:41 AM,09:43 AM,empty
313,weather,0,empty,01:45 PM,08:27 AM,empty
314,weather,0,empty,11:47 AM,0,02:00 PM
315,weather,0,empty,08:40 PM,empty,9:19 PM (Estimated)
316,weather,0,empty,03:04 PM,0,04:44 PM
317,weather,0,02:30 PM,02:48 PM,0,07:10 PM
318,weather,0,02:35 PM,02:44 PM,0,03:43 PM
319,weather,0,02:55 PM,03:27 PM,0,05:43 PM
320,weather,0,07:15 AM,07:22 AM,0,11:06 AM
321,weather,0,empty,03:04 PM,0,04:47 PM
322,weather,0,12:10 PM,12:10 PM,0,01:43 PM
323,weather,0,07:55 AM,08:04 AM,0,11:01 AM
324,weather,0,empty,09:05 AM,11:53 AM,empty
325,weather,0,01:05 PM,01:19 PM,0,03:13 PM
326,weather,0,empty,08:07 AM,empty,01:30 PM
327,weather,0,empty,08:56 AM,empty,10:16 AM
328,weather,0,03:05 PM,empty,0,06:43 PM
329,weather,0,04:00 PM,04:12 PM,0,06:15 PM
330,weather,0,02:55 PM,03:31 PM,0,05:26 PM
331,weather,0,11:55 AM,11:43 AM,0,05:38 PM
332,weather,0,10:40 AM,10:54 AM,0,12:50 PM
333,weather,0,06:45 AM,06:57 AM,07:45 AM,07:40 AM
334,weather,0,04:00 PM,03:58 PM,0,06:36 PM
335,weather,0,06:00 AM,06:10 AM,0,06:19 AM
336,weather,0,07:10 AM,07:39 AM,0,11:12 AM
337,weather,0,07:10 AM,07:31 AM,0,03:14 PM
338,airtravelcenter,0,07:10 AM,07:16 AM,09:40 AM,09:13 AM
339,airtravelcenter,0,empty,07:42 PM,10:15 PM,empty
340,airtravelcenter,0,06:40 AM,06:54 AM,09:25 AM,09:13 AM
341,airtravelcenter,0,08:00 AM,08:29 AM,11:55 AM,09:13 AM
342,airtravelcenter,0,empty,09:01 AM,0,09:13 AM
343,airtravelcenter,0,07:45 PM,07:59 PM,10:30 PM,empty
344,airtravelcenter,0,03:27 PM,03:28 PM,05:05 PM,09:13 AM
345,airtravelcenter,0,11:25 AM,11:32 AM,0,03:31 PM
346,airtravelcenter,AA-1544-SAN-ORD,empty,11:41 AM,0,09:13 AM
347,airtravelcenter,UA-5487-SFO-MRY,empty,10:53 AM,0,09:13 AM
348,airtravelcenter,0,11:25 PM,empty,6:55 AM Dec 02,09:13 AM
349,airtravelcenter,UA-414-LAX-SFO,empty,06:10 AM,0,09:13 AM
350,airtravelcenter,0,12:30 AM,12:41 AM,0,05:26 AM
351,airtravelcenter,0,04:00 PM,03:58 PM,06:46 PM,09:13 AM
352,airtravelcenter,0,empty,07:56 AM,09:21 AM,empty
353,airtravelcenter,0,09:45 AM,10:19 AM,0,01:19 PM
354,airtravelcenter,0,09:05 AM,10:10 AM,12:35 PM,09:13 AM
355,airtravelcenter,UA-3515-IAD-MSP,empty,08:26 AM,0,09:13 AM
356,airtravelcenter,0,07:00 AM,07:25 AM,09:55 AM,09:13 AM
357,airtravelcenter,0,04:15 PM,04:29 PM,07:55 PM,09:13 AM
358,airtravelcenter,0,empty,10:55 AM,0,09:13 AM
359,airtravelcenter,0,02:30 PM,02:48 PM,0,07:10 PM
360,airtravelcenter,0,08:05 AM,08:00 AM,0,11:06 AM
361,airtravelcenter,UA-2314-ATL-PHL,empty,03:04 PM,0,09:13 AM
362,airtravelcenter,0,11:50 AM,12:13 PM,03:50 PM,09:13 AM
363,airtravelcenter,0,empty,12:06 PM,0,01:14 PM
364,airtravelcenter,0,06:00 AM,06:08 AM,09:20 AM,09:13 AM
365,airtravelcenter,0,11:05 AM,11:30 AM,04:57 PM,09:13 AM
366,airtravelcenter,0,06:00 AM,06:02 AM,0,10:27 AM
367,airtravelcenter,0,08:40 AM,empty,0,10:56 AM
368,airtravelcenter,0,10:15 AM,10:19 AM,12:10 PM,09:13 AM
369,airtravelcenter,0,01:00 PM,02:04 PM,0,09:13 AM
370,airtravelcenter,UA-854-SFO-IAH,empty,08:07 AM,0,09:13 AM
371,airtravelcenter,UA-382-IAD-LAX,empty,12:56 PM,0,09:13 AM
372,airtravelcenter,AA-4344-ORD-DTW,empty,12:14 PM,0,09:13 AM
373,airtravelcenter,0,02:30 PM,02:26 PM,06:15 PM,09:13 AM
374,airtravelcenter,0,12:00 PM,12:08 PM,01:45 PM,09:13 AM
375,airtravelcenter,0,05:25 PM,05:22 PM,0,08:03 PM
376,airtravelcenter,0,empty,08:36 PM,08:56 PM,empty
377,airtravelcenter,0,10:40 AM,11:05 AM,02:45 PM,09:13 AM
378,airtravelcenter,UA-248-PHX-ORD,empty,01:43 PM,0,09:13 AM
379,airtravelcenter,0,empty,03:36 PM,empty,03:33 PM
380,airtravelcenter,0,07:15 AM,07:21 AM,10:35 AM,09:13 AM
381,airtravelcenter,0,06:30 PM,empty,07:25 PM,09:13 AM
382,airtravelcenter,0,06:45 PM,06:55 PM,09:10 PM,09:13 AM
383,airtravelcenter,0,12:00 PM,12:11 PM,03:15 PM,09:13 AM
384,airtravelcenter,0,07:15 PM,empty,12:21 AM Dec 02,empty
385,airtravelcenter,0,empty,02:38 PM,0,09:13 AM
386,airtravelcenter,0,09:15 AM,09:14 AM,0,12:09 PM
387,airtravelcenter,0,06:00 AM,06:56 AM,07:30 AM,09:13 AM
388,airtravelcenter,0,07:10 AM,07:30 AM,09:35 AM,09:13 AM
389,airtravelcenter,0,empty,05:09 PM,0,09:13 AM
390,airtravelcenter,0,07:25 AM,07:39 AM,11:10 AM,09:13 AM
391,airtravelcenter,0,03:50 PM,04:28 PM,06:23 PM,09:13 AM
392,airtravelcenter,UA-938-DEN-ORD,empty,04:37 PM,0,09:13 AM
393,airtravelcenter,0,08:00 PM,08:23 PM,09:45 PM,09:13 AM
394,airtravelcenter,CO-16-LAX-EWR,10:25 AM,empty,06:44 PM,empty
395,airtravelcenter,0,empty,07:31 AM,0,09:13 AM
396,airtravelcenter,0,10:40 AM,11:02 AM,02:59 PM,09:13 AM
397,airtravelcenter,0,01:33 PM,01:31 PM,04:31 PM,09:56 AM
398,airtravelcenter,0,12:15 PM,12:41 PM,02:45 PM,09:13 AM
399,airtravelcenter,0,01:29 PM,01:48 PM,0,04:17 PM
400,airtravelcenter,0,11:55 PM,empty,05:50 AM,09:13 AM
